epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,872.091,0.6448,1.12392,0.51405,0.91408,0.8967,0.77151,0.8496,0.67041,0.88361,0.76596,0.83718,0.61199,0.75669,1.46463,0.639,0.9733,0.0003764,0.0003764,0.0003764
84,882.312,0.65383,1.16005,0.5237,0.92185,0.87881,0.79619,0.85161,0.66284,0.87076,0.77973,0.8251,0.6068,0.76333,1.48439,0.64133,0.9739,0.0003566,0.0003566,0.0003566
85,892.516,0.66835,1.14693,0.52876,0.91825,0.88077,0.78912,0.84875,0.66211,0.87414,0.78318,0.83419,0.60637,0.76735,1.50091,0.6321,0.97853,0.0003368,0.0003368,0.0003368
86,902.702,0.62302,1.08768,0.50952,0.90332,0.90812,0.76855,0.85364,0.66677,0.91982,0.76558,0.83984,0.61263,0.7598,1.4829,0.62046,0.97907,0.000317,0.000317,0.000317
87,913.067,0.63334,1.07103,0.51629,0.91587,0.90419,0.77745,0.85831,0.67152,0.90074,0.77448,0.84578,0.61488,0.75139,1.45541,0.61697,0.97599,0.0002972,0.0002972,0.0002972
88,923.386,0.62785,1.0778,0.5059,0.91211,0.91651,0.74777,0.85457,0.6775,0.91986,0.75371,0.84394,0.61609,0.74554,1.45957,0.61737,0.9705,0.0002774,0.0002774,0.0002774
89,933.579,0.63445,1.10035,0.50366,0.90446,0.90829,0.75964,0.85454,0.67719,0.90462,0.75668,0.84373,0.61742,0.73407,1.50063,0.62389,0.96265,0.0002576,0.0002576,0.0002576
90,943.833,0.6503,1.12221,0.527,0.91402,0.92575,0.73887,0.85068,0.67787,0.92575,0.73887,0.84119,0.6197,0.73723,1.51436,0.62825,0.96425,0.0002378,0.0002378,0.0002378
91,977.44,0.59655,1.03859,0.4923,0.87632,0.92248,0.7415,0.84373,0.66596,0.91509,0.73556,0.83133,0.6131,0.75179,1.49556,0.64559,0.97279,0.000218,0.000218,0.000218
92,985.937,0.59557,1.02218,0.50206,0.87346,0.87784,0.75964,0.84167,0.65905,0.86473,0.76558,0.82464,0.60336,0.75541,1.5097,0.65146,0.97732,0.0001982,0.0001982,0.0001982
93,995.239,0.59311,1.03948,0.50087,0.8851,0.88861,0.75074,0.83622,0.65606,0.8851,0.74777,0.82741,0.60333,0.75144,1.52755,0.66558,0.97509,0.0001784,0.0001784,0.0001784
94,1004.83,0.57386,0.97625,0.47726,0.87426,0.86683,0.77262,0.83819,0.65902,0.87874,0.76558,0.8315,0.60962,0.75868,1.53097,0.65797,0.97961,0.0001586,0.0001586,0.0001586
95,1014.63,0.56357,0.9585,0.45767,0.86582,0.87761,0.76601,0.83935,0.66654,0.89113,0.75371,0.82835,0.60793,0.74191,1.5492,0.64449,0.97129,0.0001388,0.0001388,0.0001388
96,1024.37,0.54247,0.96729,0.45556,0.86018,0.8799,0.76092,0.8418,0.66936,0.90672,0.73591,0.82801,0.61054,0.73837,1.53586,0.64319,0.97235,0.000119,0.000119,0.000119
97,1033.81,0.56183,0.9623,0.45578,0.86953,0.90713,0.75964,0.8473,0.67636,0.90916,0.74245,0.83166,0.61739,0.73469,1.50821,0.63131,0.97225,9.92e-05,9.92e-05,9.92e-05
98,1043.62,0.54929,0.96623,0.46076,0.85807,0.91375,0.75448,0.8478,0.67666,0.91599,0.74481,0.83476,0.6169,0.73819,1.48832,0.62922,0.96784,7.94e-05,7.94e-05,7.94e-05
99,1053.32,0.55378,0.93698,0.45063,0.87597,0.92081,0.75904,0.85007,0.67882,0.91348,0.74777,0.83815,0.61553,0.7266,1.45066,0.61628,0.96118,5.96e-05,5.96e-05,5.96e-05
100,1062.92,0.54959,0.95276,0.45077,0.86013,0.87585,0.78932,0.85166,0.68078,0.91853,0.74777,0.83832,0.61462,0.72044,1.46196,0.61595,0.95755,3.98e-05,3.98e-05,3.98e-05
